_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66af4b8251009ca6b5b36661,,52,90.36,66.4,70.59,65;5;0;1,time,15,-1,1,15,0,8.36,false,false,english,none,normal,false,false,false,,1722764162000
66af4b2751009ca6b5b3639a,,73.59,98.96,76.78,74.61,92;0;0;1,time,15,-1,7,15,0,25.43,false,false,english,none,normal,false,false,false,,1722764071000
66ae0dff2769a6ddcb897878,,74.33,96.19,83.92,85.25,93;2;0;1,time,15,-1,2,15.01,0,10.7,false,false,english,none,normal,false,false,false,,1722682879000
66ae06d82769a6ddcb89418d,,73.6,100,73.6,80.37,92;0;0;0,time,15,-1,5,15,0,22.63,false,false,english,none,normal,false,false,false,,1722681048000
66acd29c2769a6ddcb7fb869,true,90.19,97.44,93.38,87.44,113;2;0;0,time,15,-1,15,15.04,0,51.02,false,false,english,none,normal,false,false,false,,1722602140000
66acd13c2769a6ddcb7fa9b4,,79.08,95.37,86.27,89.61,99;4;0;1,time,15,-1,40,15.02,0,158.96,false,false,english,none,normal,false,false,false,,1722601788000
66aca8b72769a6ddcb7e335c,,80.68,96.3,86.27,83.03,101;3;0;1,time,15,-1,2,15.02,0,6.82,false,false,english,none,normal,false,false,false,,1722591415000
66ac77312769a6ddcb7c795b,,73.59,95,79.99,81.29,92;4;0;1,time,15,-1,2,15,0,14.76,false,false,english,none,normal,false,false,false,,1722578737000
66ac76aa2769a6ddcb7c74fb,,64,90.48,83.99,81.19,80;4;2;2,time,15,-1,12,15,0,72.49,false,false,english,none,normal,false,false,false,,1722578602000
66ab7bc42769a6ddcb7400e4,,55.99,97.33,59.98,64.23,70;1;0;0,time,15,-1,5,15,0,24.22,false,false,english,none,normal,false,false,false,,1722514372000
66ab727f2769a6ddcb73a381,,66.32,94.95,79.11,77.32,83;1;1;1,time,15,-1,2,15.02,0,12.17,false,false,english,none,normal,false,false,false,,1722511999000
66ab72032769a6ddcb739ece,,84.74,100,84.74,89.08,106;0;0;0,time,15,-1,28,15.01,0,176.59,false,false,english,none,normal,false,false,false,,1722511875000
66aa7a682769a6ddcb6bec96,,79.14,99.04,83.13,86.61,99;0;0;1,time,15,-1,1,15.01,0,3.97,false,false,english,none,normal,false,false,false,,1722448488000
66aa0cae2769a6ddcb675e95,,85.53,95.61,91.12,73.34,107;4;0;1,time,15,-1,4,15.01,0,37.71,false,false,english,none,normal,false,false,false,,1722420398000
66aa0ac62769a6ddcb674d87,,73.49,97.94,77.49,71.28,92;1;0;0,time,15,-1,3,15.02,0,6.38,false,false,english,none,normal,false,false,false,,1722419910000
66aa0a7f2769a6ddcb674b30,,83.12,100,83.12,84.68,104;0;0;0,time,15,-1,11,15.02,0,75.03,false,false,english,none,normal,false,false,false,,1722419839000
66aa08442769a6ddcb673768,,71.97,96.91,77.57,76.81,90;1;0;1,time,15,-1,1,15.01,0,4.65,false,false,english,none,normal,false,false,false,,1722419268000
66aa082b2769a6ddcb673691,,81.53,98.11,84.73,77.2,102;0;1;0,time,15,-1,3,15.01,0,21.64,false,false,english,none,normal,false,false,false,,1722419243000
66aa06f02769a6ddcb672b1d,,71.18,97.89,75.98,48.98,89;1;0;0,time,15,-1,0,15,3,0,false,false,english,none,normal,false,false,false,,1722418928000
66a92ffa92ada08565ab413b,,83.14,95.12,98.33,89.85,104;3;0;2,time,15,-1,1,15.01,0,3.88,false,false,english,none,normal,false,false,false,,1722363898000
66a7e1ab92ada085659f8b7c,,78.34,95.28,84.74,81.76,98;4;0;0,time,15,-1,4,15.01,0,17.88,false,false,english,none,normal,false,false,false,,1722278315000
66a7a06d92ada085659cae6f,,88.69,100,88.69,88.12,111;0;0;0,time,15,-1,2,15.02,0,9.89,false,false,english,none,normal,false,false,false,,1722261613000
66a790de92ada085659bfaa9,,81.51,91.07,89.5,83.88,102;9;0;1,time,15,-1,7,15.02,0,40.57,false,false,english,none,normal,false,false,false,,1722257630000
66a78fc992ada085659bef66,,72.79,92.16,81.58,77.09,91;6;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1722257353000
66a78fb992ada085659beec6,,76.79,93.91,91.99,67.12,96;4;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1722257337000
66a78ee392ada085659be622,,73.57,95.83,76.76,73.36,92;3;0;1,time,15,-1,11,15.01,0,44.36,false,false,english,none,normal,false,false,false,,1722257123000
66a7875b92ada085659b9664,,87.16,99.12,90.36,86.41,109;0;0;1,time,15,-1,3,15.01,0,27.36,false,false,english,none,normal,false,false,false,,1722255195000
66a7823a92ada085659b62dd,,72.74,97.96,78.33,79.19,91;1;0;2,time,15,-1,2,15.01,0,2.7,false,false,english,none,normal,false,false,false,,1722253882000
66a77a4b92ada085659b16b3,,72.78,95.24,83.97,63.13,91;3;0;1,time,15,-1,14,15.01,0,87.39,false,false,english,none,normal,false,false,false,,1722251851000
66a726ae4e481c00f5ada902,,78.31,98.1,83.9,88.34,98;1;0;0,time,15,-1,7,15.02,0,23.44,false,false,english,none,normal,false,false,false,,1722230446000
66a7267e4e481c00f5ada769,,75.13,91.51,84.73,81.76,94;6;1;1,time,15,-1,6,15.01,0,26.53,false,false,english,none,normal,false,false,false,,1722230398000
66a721c24e481c00f5ad7e99,,71.19,93.27,83.19,81.4,89;3;1;0,time,15,-1,2,15,0,12.38,false,false,english,none,normal,false,false,false,,1722229186000
66a65d5d4e481c00f5a7ee4e,,75.17,94.29,83.97,77.87,94;3;1;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1722178909000
66a6174e4e481c00f5a58918,,78.38,100,78.38,78.45,98;0;0;0,time,15,-1,6,15,0,29.2,false,false,english,none,normal,false,false,false,,1722160974000
66a539194e481c00f5a015ce,,66.39,90.91,79.18,72.45,83;6;0;1,time,15,-1,3,15,0,14.77,false,false,english,none,normal,false,false,false,,1722104089000
669e0fac82df16123dda60b4,,78.35,98.04,81.55,70.99,98;1;0;0,time,15,-1,2,15.01,0,13.63,false,false,english,none,normal,false,false,false,,1721634732000
669e0f8b82df16123dda5f83,,64.78,91.26,79.98,80.2,81;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721634699000
669e0f7a82df16123dda5eed,,79.99,97.09,79.99,84.17,100;0;0;0,time,15,-1,2,15,0,2.59,false,false,english,none,normal,false,false,false,,1721634682000
669d07f482df16123dd2a3b5,,71.93,96.12,80.72,84.17,90;0;0;2,time,15,-1,2,15.01,0,14.2,false,false,english,none,normal,false,false,false,,1721567220000
669d071c82df16123dd29ce7,,66.32,93.55,71.91,76.3,83;1;1;0,time,15,-1,2,15.02,0,26.12,false,false,english,none,normal,false,false,false,,1721567004000
669d069e82df16123dd29885,,55.95,90.12,59.14,68.43,70;1;0;1,time,15,-1,2,15.01,0,12.51,false,false,english,none,normal,false,false,false,,1721566878000
669d067482df16123dd29736,,67.13,97.75,71.12,70.83,84;1;0;0,time,15,-1,1,15.02,0,4.37,false,false,english,none,normal,false,false,false,,1721566836000
669d062f82df16123dd294c1,,63.94,97.65,67.94,76.18,80;1;0;0,time,15,-1,2,15.01,0,12.01,false,false,english,none,normal,false,false,false,,1721566767000
669d060c82df16123dd29388,,67.2,94.74,75.99,79.48,84;3;0;2,time,15,-1,2,15,0,2.26,false,false,english,none,normal,false,false,false,,1721566732000
669d05f682df16123dd292dd,,75.98,96.94,75.98,84.32,95;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721566710000
669bc96082df16123dca076d,,58.4,100,58.4,61.13,73;0;0;0,time,15,-1,1,15,0,4.44,false,false,english,none,normal,false,false,false,,1721485664000
669bc94f82df16123dca06bf,,64.75,100,64.75,75.81,81;0;0;0,time,15,-1,2,15.01,0,11.91,false,false,english,none,normal,false,false,false,,1721485647000
669b8ec582df16123dc81fed,,70.36,92.93,75.16,65.11,88;0;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1721470661000
669b8d8682df16123dc81609,,85.57,98.21,89.56,86.28,107;1;0;0,time,15,-1,1,15.01,0,8.06,false,false,english,none,normal,false,false,false,,1721470342000
669b733282df16123dc74c68,,64.77,95.45,67.97,73.69,81;0;0;1,time,15,-1,1,15.01,0,13.13,false,false,english,none,normal,false,false,false,,1721463602000
669b72d082df16123dc7498a,,75.17,100,75.17,79.43,94;0;0;0,time,15,-1,1,15.01,0,1.47,false,false,english,none,normal,false,false,false,,1721463504000
669b72b382df16123dc748aa,,71.2,97.87,74.4,74.29,89;0;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721463475000
669b711d82df16123dc73d86,,56.8,94.87,62.4,63.39,71;2;1;0,time,15,-1,1,15,1,9.81,false,false,english,none,normal,false,false,false,,1721463069000
669b688a82df16123dc6ff61,,72.79,100,72.79,82.49,91;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721460874000
669b677782df16123dc6f7cc,,72.62,97.92,76.61,76.62,91;1;0;0,time,15,-1,0,15.04,0,0,false,false,english,none,normal,false,false,false,,1721460599000
669b663382df16123dc6eeb5,,67.19,93.68,72.79,69.68,84;2;0;1,time,15,-1,1,15,0,26.92,false,false,english,none,normal,false,false,false,,1721460275000
669ac63d82df16123dc333b9,,76.78,96.08,80.78,72.52,96;2;0;1,time,15,-1,4,15,0,24.55,false,false,english,none,normal,false,false,false,,1721419325000
669a5d7c82df16123dbf4a2c,,65.59,93.75,75.19,75.93,82;2;0;1,time,15,-1,1,15,0,11.04,false,false,english,none,normal,false,false,false,,1721392508000
669a5aa982df16123dbf2dfa,,67.2,91.4,71.2,66.07,84;4;0;1,time,15,-1,1,15,0,13.58,false,false,english,none,normal,false,false,false,,1721391785000
669a5a8982df16123dbf2cac,,55.99,85.57,75.18,81.39,70;6;2;0,time,15,-1,4,15,0,29.34,false,false,english,none,normal,false,false,false,,1721391753000
669a5a3e82df16123dbf29a7,,70.37,97.87,75.17,81.15,88;0;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1721391678000
669a5a2d82df16123dbf28eb,,68.8,98.88,68.8,72.16,86;0;0;0,time,15,-1,4,15,0,19.58,false,false,english,none,normal,false,false,false,,1721391661000
669a59fe82df16123dbf26c5,,72,98.9,72,75.58,90;0;0;0,time,15,-1,1,15,0,13.57,false,false,english,none,normal,false,false,false,,1721391614000
669a59de82df16123dbf2583,,63.2,96.43,65.6,63.82,79;1;0;0,time,15,-1,3,15,0,20.8,false,false,english,none,normal,false,false,false,,1721391582000
6699816f82df16123db8fcf9,,34.38,80.56,55.96,53.05,43;7;0;5,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1721336175000
669980e282df16123db8f8eb,,75.19,97.96,77.59,79.95,94;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721336034000
669980d082df16123db8f873,,66.37,93.33,67.97,67.23,83;1;0;0,time,15,-1,1,15.01,0,2.32,false,false,english,none,normal,false,false,false,,1721336016000
669980bb82df16123db8f7d3,,51.95,92.68,63.94,53.85,65;3;0;0,time,15,-1,16,15.01,0,70.9,false,false,english,none,normal,false,false,false,,1721335995000
6699803282df16123db8f412,,81.51,98.13,85.5,85.64,102;1;0;0,time,15,-1,3,15.02,0,14.28,false,false,english,none,normal,false,false,false,,1721335858000
6699800382df16123db8f2e0,,83.08,98.2,88.67,83.05,104;1;0;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1721335811000
66997fef82df16123db8f259,,68,89.91,87.2,85.38,85;6;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721335791000
66997fde82df16123db8f1d3,,59.19,84.62,83.19,67.77,74;11;0;2,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721335774000
66997fcd82df16123db8f15b,,68.68,93.88,75.87,77.05,86;2;0;0,time,15,-1,1,15.03,0,4.22,false,false,english,none,normal,false,false,false,,1721335757000
66997fb682df16123db8f0b2,,62.39,94.12,65.59,57.94,78;1;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721335734000
66997f6482df16123db8ee87,,83.13,98.18,87.92,82.99,104;2;0;0,time,15,-1,4,15.01,0,12.51,false,false,english,none,normal,false,false,false,,1721335652000
66997f4282df16123db8ed96,,53.59,86.75,64.78,66.44,67;6;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721335618000
66997f3182df16123db8ecf8,,56.8,93.98,64.8,61.05,71;1;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721335601000
66997f2082df16123db8ec8a,,76,98.99,79.2,65.99,95;0;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721335584000
66997f0f82df16123db8ec06,,71.97,97.92,74.37,78.81,90;0;0;1,time,15,-1,8,15.01,0,33.79,false,false,english,none,normal,false,false,false,,1721335567000
66997ec882df16123db8e9d9,,63.91,95.7,74.3,79.43,80;1;0;2,time,15,-1,2,15.02,0,7.73,false,false,english,none,normal,false,false,false,,1721335496000
66997eac82df16123db8e90b,,76.74,100,76.74,82.14,96;0;0;0,time,15,-1,9,15.01,0,53.48,false,false,english,none,normal,false,false,false,,1721335468000
66997e5782df16123db8e6e2,,70.33,96.84,74.33,71.95,88;1;0;0,time,15,-1,2,15.01,0,6.89,false,false,english,none,normal,false,false,false,,1721335383000
66997e3e82df16123db8e626,,73.47,97.98,76.67,77.32,92;0;0;1,time,15,-1,1,15.03,0,12.52,false,false,english,none,normal,false,false,false,,1721335357000
66997e0682df16123db8e4a3,,65.53,92.55,74.32,76.36,82;3;1;1,time,15,-1,4,15.02,0,21.01,false,false,english,none,normal,false,false,false,,1721335302000
66997dd982df16123db8e35f,,67.15,94.9,77.54,74.47,84;2;0;1,time,15,-1,5,15.01,0,24.55,false,false,english,none,normal,false,false,false,,1721335257000
66997da082df16123db8e1ad,,64,90,70.4,74.18,80;5;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721335200000
66997d9082df16123db8e12a,,70.4,96.94,75.19,71.58,88;1;0;0,time,15,-1,5,15,0,37.46,false,false,english,none,normal,false,false,false,,1721335184000
66995a1982df16123db7c831,,71.17,100,71.17,71.49,89;0;0;0,time,15,-1,2,15.01,0,6.99,false,false,english,none,normal,false,false,false,,1721326105000
669959fe82df16123db7c74c,,69.49,95.74,72.69,67.32,87;1;0;1,time,15,-1,19,15.02,0,132.16,false,false,english,none,normal,false,false,false,,1721326078000
6698eb8382df16123db36e74,,78.37,96.26,85.57,87.6,98;2;0;2,time,15,-1,4,15.01,0,18.25,false,false,english,none,normal,false,false,false,,1721297795000
6698e2c282df16123db32220,,78.37,99.02,81.57,85.59,98;0;0;1,time,15,-1,6,15.01,0,38.66,false,false,english,none,normal,false,false,false,,1721295554000
6698dfdd82df16123db30884,,78.37,96.26,83.97,77.77,98;1;0;0,time,15,-1,3,15.01,0,27.25,false,false,english,none,normal,false,false,false,,1721294813000
6698ce3682df16123db2662d,,70.33,93.14,81.52,84.62,88;3;1;1,time,15,-1,3,15.02,0,17.76,false,false,english,none,normal,false,false,false,,1721290294000
